상품군별,범위별,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01 p),2021. 02 p)
가방,계,"143,643","163,204","168,660","159,399","152,370","149,442","151,719","163,461","165,215","157,007","169,508","180,854","186,542","178,154","194,190","185,469","190,609","176,525","192,018","180,739","176,869","184,737","180,036","201,321","202,289","211,934","230,083","218,640","225,132","210,523","209,939","222,228","228,842","235,527","232,236","245,214","211,105","210,768","220,548","200,043","226,162","241,128","240,048","226,027","223,559","234,801","247,393","248,491","228,206","237,356"
,종합몰,"123,077","139,641","146,182","136,921","133,230","131,069","132,921","142,901","145,063","137,851","149,850","161,003","163,851","154,221","171,868","163,933","171,139","157,383","169,432","159,669","156,186","164,628","159,792","179,429","173,747","180,043","198,163","191,234","197,345","184,055","177,255","191,747","197,228","205,645","200,566","213,427","175,998","171,888","184,733","165,591","190,495","200,043","203,698","190,020","185,476","202,642","211,307","216,049","198,298","198,908"
,전문몰,"20,566","23,563","22,478","22,478","19,140","18,373","18,798","20,560","20,152","19,156","19,658","19,851","22,691","23,933","22,322","21,536","19,470","19,142","22,586","21,070","20,683","20,109","20,244","21,892","28,542","31,891","31,920","27,406","27,787","26,468","32,684","30,481","31,614","29,882","31,670","31,787","35,107","38,880","35,815","34,452","35,667","41,085","36,350","36,007","38,083","32,159","36,086","32,442","29,908","38,448"
패션용품 및 액세서리,계,"143,439","146,885","165,677","165,183","168,702","162,825","170,035","178,204","170,345","161,449","189,580","206,100","195,299","178,379","210,147","196,288","198,073","189,401","209,945","194,350","169,357","182,647","192,160","220,802","191,270","185,262","211,277","213,521","233,789","215,417","231,955","212,401","212,056","206,328","216,318","242,365","201,146","184,087","185,300","170,263","194,764","193,127","208,392","188,105","165,557","168,864","183,729","211,136","177,334","162,887"
,종합몰,"116,467","118,304","136,039","139,550","141,626","135,549","140,384","145,205","141,409","133,956","160,784","172,891","161,089","144,848","175,151","161,918","162,931","153,643","170,155","158,362","140,112","150,855","158,604","183,841","155,038","143,894","165,785","169,331","186,159","168,521","181,438","163,181","167,055","166,009","175,061","195,465","156,664","142,964","137,151","123,282","143,092","141,035","152,763","130,694","120,683","125,989","138,961","159,677","136,748","127,194"
,전문몰,"26,972","28,581","29,638","25,633","27,076","27,276","29,651","32,999","28,936","27,493","28,796","33,209","34,210","33,531","34,996","34,370","35,142","35,758","39,790","35,988","29,245","31,792","33,556","36,961","36,232","41,368","45,492","44,190","47,630","46,896","50,517","49,220","45,001","40,319","41,257","46,900","44,482","41,123","48,149","46,981","51,672","52,092","55,629","57,411","44,874","42,875","44,768","51,459","40,586","35,693"
스포츠·레저용품,계,"201,380","207,110","257,361","283,154","292,971","289,069","292,683","266,351","265,466","274,798","313,019","258,250","230,779","200,710","283,820","298,574","330,784","325,017","360,361","300,229","304,161","389,324","373,871","332,875","275,432","251,940","331,660","361,085","408,724","363,405","391,095","337,705","343,934","406,650","417,226","361,262","287,829","297,815","369,415","439,164","495,367","494,845","511,964","420,777","457,988","563,076","550,189","481,186","392,961","362,752"
,종합몰,"164,725","167,746","208,199","233,756","243,269","239,759","246,000","222,139","218,446","223,605","264,859","216,467","192,335","162,455","233,034","244,705","275,905","272,875","307,137","248,371","252,728","325,114","320,541","284,678","231,644","202,519","267,194","293,787","337,570","301,238","322,307","275,423","279,974","334,157","349,385","300,435","234,244","243,438","310,045","372,743","421,497","421,505","438,056","362,833","394,646","485,700","476,543","416,616","337,015","301,283"
,전문몰,"36,655","39,364","49,162","49,398","49,702","49,310","46,683","44,212","47,020","51,193","48,160","41,783","38,444","38,255","50,786","53,869","54,879","52,142","53,224","51,858","51,433","64,210","53,330","48,197","43,788","49,421","64,466","67,298","71,154","62,167","68,788","62,282","63,960","72,493","67,841","60,827","53,585","54,377","59,370","66,421","73,870","73,340","73,908","57,944","63,342","77,376","73,646","64,570","55,946","61,469"
화장품,계,"654,145","729,228","715,294","583,336","622,853","652,533","619,456","652,563","717,116","677,876","789,224","703,544","770,908","746,376","831,653","802,428","818,526","772,505","778,966","801,984","849,617","894,287","911,566","873,247","901,348","863,072","1,025,719","963,721","990,437","944,962","986,542","1,039,664","1,102,640","1,158,245","1,210,348","1,193,049","1,123,578","1,048,597","980,911","960,350","933,034","982,997","1,004,536","1,081,864","1,074,212","1,031,873","1,134,450","1,074,652","1,080,643","900,562"
,종합몰,"541,252","615,478","609,437","487,074","524,476","536,260","517,882","564,347","619,415","590,519","661,160","598,367","660,882","632,572","709,180","703,238","715,628","678,702","683,067","714,885","755,190","781,848","791,074","763,074","790,729","776,935","927,950","871,762","909,487","859,308","901,160","951,030","1,016,509","1,056,758","1,087,433","1,087,621","1,031,420","953,390","865,026","855,559","837,726","886,469","929,672","1,005,094","980,194","955,558","1,035,038","975,217","1,001,774","824,423"
,전문몰,"112,893","113,750","105,857","96,262","98,377","116,273","101,574","88,216","97,701","87,357","128,064","105,177","110,026","113,804","122,473","99,190","102,898","93,803","95,899","87,099","94,427","112,439","120,492","110,173","110,619","86,137","97,769","91,959","80,950","85,654","85,382","88,634","86,131","101,487","122,915","105,428","92,158","95,207","115,885","104,791","95,308","96,528","74,864","76,770","94,018","76,315","99,412","99,435","78,869","76,139"
아동·유아용품,계,"259,790","262,204","300,200","293,596","274,565","259,069","264,579","263,530","272,277","260,541","299,591","377,236","295,195","268,618","298,883","320,420","310,798","271,934","287,390","275,805","273,741","308,862","310,073","393,574","313,678","286,419","337,553","354,227","347,942","303,935","318,267","308,960","325,269","349,396","361,415","442,747","340,776","395,489","417,960","411,887","414,630","379,612","384,059","377,351","394,561","396,121","409,473","533,733","411,540","379,590"
,종합몰,"239,304","237,116","273,482","263,196","251,146","232,732","241,335","238,365","246,577","236,837","270,151","336,263","260,995","241,759","266,976","285,541","275,750","242,982","260,921","248,708","245,866","275,656","275,256","347,909","281,383","255,640","306,546","316,923","314,303","271,866","281,864","275,101","291,344","313,271","324,495","394,924","308,818","361,447","382,739","369,739","377,087","337,820","344,193","339,013","352,954","359,639","366,752","479,961","374,111","343,069"
,전문몰,"20,486","25,088","26,718","30,400","23,419","26,337","23,244","25,165","25,700","23,704","29,440","40,973","34,200","26,859","31,907","34,879","35,048","28,952","26,469","27,097","27,875","33,206","34,817","45,665","32,295","30,779","31,007","37,304","33,639","32,069","36,403","33,859","33,925","36,125","36,920","47,823","31,958","34,042","35,221","42,148","37,543","41,792","39,866","38,338","41,607","36,482","42,721","53,772","37,429","36,521"
음·식료품,계,"675,851","573,082","641,671","652,914","633,354","641,593","638,176","692,641","827,851","608,615","701,590","709,684","846,822","814,658","826,873","810,015","849,044","811,245","866,906","905,132","1,000,055","910,407","927,668","925,608","1,193,353","867,434","1,027,271","1,058,853","1,111,609","1,040,151","1,092,958","1,215,522","1,233,759","1,190,483","1,198,157","1,217,181","1,417,289","1,482,929","1,640,869","1,523,528","1,479,481","1,444,421","1,590,820","1,641,205","2,032,830","1,649,211","1,763,205","2,013,597","2,178,995","1,914,107"
,종합몰,"548,272","459,748","512,756","525,220","509,764","516,503","516,393","559,000","686,780","489,116","578,513","582,704","690,539","663,266","655,642","648,922","682,086","658,740","701,912","742,191","823,791","744,120","751,072","749,143","992,377","711,906","844,768","873,534","915,404","842,440","892,006","993,192","1,014,429","990,406","998,096","1,005,565","1,218,414","1,266,660","1,410,921","1,300,197","1,264,964","1,220,824","1,334,316","1,410,663","1,741,767","1,418,184","1,513,061","1,727,614","1,857,898","1,610,130"
,전문몰,"127,579","113,334","128,915","127,694","123,590","125,090","121,783","133,641","141,071","119,499","123,077","126,980","156,283","151,392","171,231","161,093","166,958","152,505","164,994","162,941","176,264","166,287","176,596","176,465","200,976","155,528","182,503","185,319","196,205","197,711","200,952","222,330","219,330","200,077","200,061","211,616","198,875","216,269","229,948","223,331","214,517","223,597","256,504","230,542","291,063","231,027","250,144","285,983","321,097","303,977"
